187837, 	441 ,1536,2051180.04
144277, 	444 ,1378,1370178.47022
146525, 	412 ,1342,1231088.778465
118883, 	569 ,1359,1122295.94022
179546.3, 	689 ,1563,2028873.19
162464, 	644 ,1470,2167304
224650, 	616 ,1543,2324746
235860, 	745 ,1403,2535495
296672, 	876 ,1436,3619398.4
297793.049999974, 	929 ,1824,3686677.95899968
302192.91, 	935 ,1475,3454064.9613
338284, 	887 ,1569,3859820.44
349309, 	860 ,1370,3618841.24
348153, 	809 ,1251,3049820.28
332544, 	798 ,1476,3079357.44
350966.602058812, 	904 ,1829,4172992.89847927
368982, 	720 ,1456,3863241.54
356615, 	601 ,1587,2162658.77658167
84677, 	441 ,1536,968704.88
83010.01, 	444 ,1378,831803.4654052
72715, 	412 ,1342,640036.935538
72263, 	569 ,1359,714672.39844
74168.9, 	689 ,1563,878901.465
75928, 	644 ,1470,949876
73361, 	616 ,1543,845009
70419, 	745 ,1403,766158
84396.3300000001, 	876 ,1436,1043138.64
83792.13, 	929 ,1824,1020588.1434
83247.5516255173, 	935 ,1475,953184.466112173
84591, 	887 ,1569,963491.49
85767, 	860 ,1370,964021.08
86253, 	809 ,1251,767651.7
86412, 	798 ,1476,814865.16
87601.4423874201, 	904 ,1829,1046837.23652967
88112, 	720 ,1456,910196.96
87177, 	601 ,1587,632905.02
500461, 	441 ,1536,5725273.84
521883, 	444 ,1378,5229539.03916
429205, 	412 ,1342,3777859.491406
430666, 	569 ,1359,4259235.06008
430268.45, 	689 ,1563,5270788.5125
379669, 	644 ,1470,5004117
463722, 	616 ,1543,5061548
492031, 	745 ,1403,5249970
504975.340000001, 	876 ,1436,6206146.93
574971.579999941, 	929 ,1824,7031902.42339928
578644.380781407, 	935 ,1475,6718061.26087213
605422, 	887 ,1569,6938136.12
604691, 	860 ,1370,6597178.81
611752, 	809 ,1251,6001287.12
614060, 	798 ,1476,5907257.2
617014.819813214, 	904 ,1829,7360986.80037165
623655, 	720 ,1456,6411173.4
619661, 	601 ,1587,3885274.47
75229, 	441 ,1536,821500.68
74857, 	444 ,1378,748334.94902
76735, 	412 ,1342,644719.996011
80666, 	569 ,1359,761514.46644
102349.75, 	689 ,1563,1125847.25
76681, 	644 ,1470,1022946
89155, 	616 ,1543,1022515
92797, 	745 ,1403,998495
97626, 	876 ,1436,1202752.32
113542.539999989, 	929 ,1824,1457886.21359986
129666.852694679, 	935 ,1475,1515805.5080008
132527, 	887 ,1569,1546590.09
133049, 	860 ,1370,1430276.75
143038, 	809 ,1251,1273038.2
144250, 	798 ,1476,1355950
146330.710026792, 	904 ,1829,1741335.44931883
149961, 	720 ,1456,1564093.23
148740, 	601 ,1587,935574.6
17421, 	441 ,1536,199296.24
17472, 	444 ,1378,175078.52544
16984, 	412 ,1342,149493.0525088
16647, 	569 ,1359,164636.83236
55858.45, 	689 ,1563,614442.95
35703, 	644 ,1470,472718
40305, 	616 ,1543,476922
61255, 	745 ,1403,652365
76727.0400000001, 	876 ,1436,942208.05
86426.8599999883, 	929 ,1824,1078607.21279985
80840.300111076, 	935 ,1475,978976.03434513
14606, 	887 ,1569,175856.24
16363, 	860 ,1370,188501.76
17123, 	809 ,1251,157360.37
18505, 	798 ,1476,183014.45
19770.8152532828, 	904 ,1829,239226.864564722
21468, 	720 ,1456,230136.96
20987, 	601 ,1587,153205.1
187559, 	441 ,1536,2046178.68
184114, 	444 ,1378,1840561.88204
195285, 	412 ,1342,1640765.549241
201004, 	569 ,1359,1897546.10136
213324.8, 	689 ,1563,2559897.6
178102, 	644 ,1470,2347435
161215, 	616 ,1543,1654754
146677, 	745 ,1403,1544508
170197.92, 	876 ,1436,2081520.56
161969.604236617, 	929 ,1824,2018141.26878825
163457.651550483, 	935 ,1475,1794765.41402431
166684, 	887 ,1569,1891863.4
178148, 	860 ,1370,1989913.16
185252, 	809 ,1251,1693203.28
187981, 	798 ,1476,1812136.84
191108.91411239, 	904 ,1829,2274196.07793745
192255, 	720 ,1456,2032135.35
189032, 	601 ,1587,1362920.72
428786, 	441 ,1536,4230298.8
455259, 	444 ,1378,4546189.05846
310674, 	412 ,1342,3351710
286447, 	569 ,1359,2672564.259456
322605.55, 	689 ,1563,3822875.7675
343784, 	644 ,1470,4208043
348863, 	616 ,1543,3856612
386127, 	745 ,1403,4181755
466655.23, 	876 ,1436,5749192.43
538797.21, 	929 ,1824,6621817.7109
598707, 	935 ,1475,6933027.46
678677, 	887 ,1569,7580822.09
703665, 	860 ,1370,7859938.05
736884, 	809 ,1251,7044611.04
742120, 	798 ,1476,7161458
798076.867019157, 	904 ,1829,9473172.41151739
841872, 	720 ,1456,9125892.48
824670, 	601 ,1587,5904637.2
67665, 	441 ,1536,774087.6
69434, 	444 ,1378,695764.78568
68724, 	412 ,1342,604908.1806768
56653, 	569 ,1359,560291.37164
106639.3, 	689 ,1563,1279671.6
100048, 	644 ,1470,1288640
104503, 	616 ,1543,1151646
87870, 	745 ,1403,937573
95701.23, 	876 ,1436,1172340.07
130666.769999997, 	929 ,1824,1616347.94489996
145736.816494567, 	935 ,1475,1693461.80766687
151789, 	887 ,1569,1778967.08
152294, 	860 ,1370,1696555.16
153927, 	809 ,1251,1403814.24
154802, 	798 ,1476,1489195.24
162900.699276768, 	904 ,1829,1954808.39132121
163483, 	720 ,1456,1682240.07
162008, 	601 ,1587,1010929.92
490599, 	441 ,1536,5356598.52
401268, 	444 ,1378,4007038.17192
388412, 	412 ,1342,4190389
323549, 	569 ,1359,3018727.700352
351802.3125, 	689 ,1563,5050530.0625
354847, 	644 ,1470,4623753
391887, 	616 ,1543,4494971
448533, 	745 ,1403,5037025
515951.14, 	876 ,1436,6516462.9
589614.999999999, 	929 ,1824,7364291.34999999
679877, 	935 ,1475,7852579.45
692268, 	887 ,1569,7691097.48
719993, 	860 ,1370,7999122.23
739598, 	809 ,1251,6515858.38
744942, 	798 ,1476,6965207.7
798744.914178817, 	904 ,1829,9449152.3347354
842896, 	720 ,1456,8968413.44
811354, 	601 ,1587,5671364.46
37746, 	441 ,1536,412186.32
35968, 	444 ,1378,359174.28992
28036, 	412 ,1342,302467
28677, 	569 ,1359,267557.786496
61554.25, 	689 ,1563,695563.025
38475, 	644 ,1470,463250
42483, 	616 ,1543,530884
48993, 	745 ,1403,519325
53966.67, 	876 ,1436,667028.04
59832.52, 	929 ,1824,742521.5732
62927.43, 	935 ,1475,733104.5595
63952.1099999999, 	887 ,1569,751437.292499999
66784, 	860 ,1370,751320
71592, 	809 ,1251,708044.88
75703, 	798 ,1476,738104.25
76773.902498356, 	904 ,1829,913609.439730436
81681, 	720 ,1456,927896.16
76180, 	601 ,1587,521833
90964, 	441 ,1536,965962.4
62942, 	444 ,1378,627078.5576
72235, 	412 ,1342,742198
60300, 	569 ,1359,535811.328
92415.85, 	689 ,1563,1039678.3125
85249, 	644 ,1470,1026421
80117, 	616 ,1543,906237
81470, 	745 ,1403,863582
92053.94, 	876 ,1436,1118455.37
101320.76, 	929 ,1824,1241179.31
115037.71, 	935 ,1475,1332136.6818
120088, 	887 ,1569,1325771.52
122579, 	860 ,1370,1365530.06
136845, 	809 ,1251,1219288.95
135317, 	798 ,1476,1326106.6
140404.359174296, 	904 ,1829,1684852.31009155
151845, 	720 ,1456,1685479.5
143903, 	601 ,1587,1043296.75
130750, 	441 ,1536,1427790
121130, 	444 ,1378,1209596.9122
179557, 	412 ,1342,1937153
177789, 	569 ,1359,1658779.903872
185655.6, 	689 ,1563,2042211.6
186590, 	644 ,1470,2108518
202761, 	616 ,1543,2270906
248047, 	745 ,1403,2636739
304650.08, 	876 ,1436,3698451.97
333297.120000001, 	929 ,1824,4176212.91360001
352529, 	935 ,1475,4135165.17
372873.85, 	887 ,1569,4183644.59700001
422654, 	860 ,1370,4695685.94
433131, 	809 ,1251,3941492.1
429850, 	798 ,1476,4117963
447422.126539132, 	904 ,1829,5319849.08455028
582657, 	720 ,1456,6257736.18
537685, 	601 ,1587,3898216.25
475852, 	441 ,1536,5196303.84
495953, 	444 ,1378,4957972.70758
420068, 	412 ,1342,3529370.4213768
357741, 	569 ,1359,3377196.67194
419721.6, 	689 ,1563,4755445.728
463269, 	644 ,1470,5851179
485840, 	616 ,1543,5228320
499675, 	745 ,1403,5326535
540155.01, 	876 ,1436,6579088.02
594108.50999977, 	929 ,1824,7598647.84289706
636523.146003788, 	935 ,1475,7555529.74306497
647398, 	887 ,1569,7574556.6
644076, 	860 ,1370,7071954.48
668457, 	809 ,1251,5935898.16
670431, 	798 ,1476,6288642.78
674208.970511403, 	904 ,1829,7989376.30056012
682708, 	720 ,1456,7175261.08
681279, 	601 ,1587,4257993.75
183547, 	441 ,1536,2099777.68
165517.333333333, 	444 ,1378,1656676.23072
138720, 	412 ,1342,1567848
121435, 	569 ,1359,1186946.49216
142322.45, 	689 ,1563,1707869.4
156274, 	644 ,1470,1931594
182140, 	616 ,1543,2022978
171158, 	745 ,1403,1882738
181694.92, 	876 ,1436,2171254.29
189345.91, 	929 ,1824,2308126.6429
226692, 	935 ,1475,2618292.6
261346.59, 	887 ,1569,2924468.3421
268468, 	860 ,1370,3004156.92
297308, 	809 ,1251,2720368.2
309892, 	798 ,1476,3061732.96
316715.907146864, 	904 ,1829,3768919.29504768
349205, 	720 ,1456,3858715.25
338032, 	601 ,1587,2552141.6
22609, 	441 ,1536,211620.24
15358, 	444 ,1378,152441.66504
15832, 	412 ,1342,114016.2188256
12155, 	569 ,1359,98354.8566
18942.85, 	689 ,1563,198899.925
17576, 	644 ,1470,213552
13164, 	616 ,1543,155457
16157, 	745 ,1403,174334
17840.57, 	876 ,1436,224077.56
13586.2599999994, 	929 ,1824,169284.799599993
19157.6494105587, 	935 ,1475,232190.710855971
20115, 	887 ,1569,243190.35
20621, 	860 ,1370,239822.23
20760, 	809 ,1251,191614.8
21929, 	798 ,1476,218851.42
23482.2612643432, 	904 ,1829,285309.47436177
23582, 	720 ,1456,251855.76
22891, 	601 ,1587,167333.21